Product,N,P,K,Ca,Mg,S,Fe,Cu,Mn,B,Zn,Weight in lbs,Cost / Bag,Cost / 1 lb N,SGN,Product Link,Label,Sources,Urea Nitrogen,Ammoniacal Nitrogen,Water Insoluble Nitrogen,Other water Soluble,Slowly Available From
Andersons - 6-0-12 Contec Dispersing Granule Technology - SGN 75 - 40 LB BAG,6.00%,0.00%,12.00%,0.00%,2.00%,13.50%,0.00%,0.00%,5.00%,0.00%,0.00%,40,$59.39 ,$24.75 ,75,https://www.reinders.com/products/andersons-6-0-12-contec-dispersing-granule-technology-sgn-75-40-lb-bag/,https://pndata.andersonsinc.com/Files/Labels/CDG6M40.1-A17%20-%20color%2011x17.pdf,,,,,,
Andersons - 18-9-18 Fertilizer 60% Contec DG MU - SGN 75 - 40 LB BAG,18.00%,9.00%,18.00%,0.00%,0.00%,8.60%,0.28%,0.00%,0.14%,0.00%,0.00%,40,$63.49 ,$8.82 ,75,https://www.reinders.com/products/andersons-18-9-18-fertilizer-60-contec-dg-mu-sgn-75-40-lb-bag/,https://pndata.andersonsinc.com/Files/Labels/CDG181WM40.pdf,,,,,,
Andersons - 20-0-16 Contec DG Fertilizer 100% MUtech-M - SGN 150 - 50 LB BAG,20.00%,0.00%,16.00%,0.00%,0.00%,5.44%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$65.38 ,$6.54 ,150,https://www.reinders.com/products/cdg202w5/,https://pndata.andersonsinc.com/Files/Labels/CDG202W5-A17%20-%20color%2011x17.pdf,,,,,,
Andersons - 0-0-13 Contec Dispersing Granule Technology - SGN 75 - 40 LB BAG,0.00%,0.00%,13.00%,0.00%,2.00%,14.90%,0.00%,0.00%,1.50%,0.00%,0.00%,40,$53.20 ,,75,https://www.reinders.com/products/cdgk13m4/,https://pndata.andersonsinc.com/Files/Labels/CDGK13M4-A17%20-%20color%2011x17.pdf,,,,,,
Andersons - 18-3-18 Contec Dispensing Granule Technology - SGN 75 - 40 LB BAG,18.00%,3.00%,18.00%,0.00%,0.00%,6.90%,0.00%,0.00%,0.00%,0.00%,0.00%,40,$81.20 ,$11.28 ,75,https://www.reinders.com/products/cdg1816w4/,https://pndata.andersonsinc.com/Files/Labels/CDG1816W4-A17%20-%20color%2011x17.pdf,,,,,,
Andersons - 12-3-12 Contec Dispersing Granule Technology - SGN 75 - 40 LB BAG,12.00%,3.00%,12.00%,0.00%,0.00%,17.00%,0.30%,0.00%,0.50%,0.00%,0.00%,40,$71.40 ,$14.88 ,75,https://www.reinders.com/products/cdg12m40/,https://pndata.andersonsinc.com/Files/Labels/CDG12M40-A17%20-%20color%2011x17.pdf,,,,,,
Andersons - 18-24-5 Contec Dispensing Granule Technology - SGN 150 - 50 LB BAG,18.00%,24.00%,5.00%,0.00%,0.00%,1.70%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$60.06 ,$6.67 ,150,https://www.reinders.com/products/cdg186w5/,https://pndata.andersonsinc.com/Files/Labels/CDG186W5_A17.pdf,,,,,,
Andersons - 13-0-26 Contec Dispersing Granule Technology - SGN 75 - 40 LB BAG,13.00%,0.00%,26.00%,0.00%,0.00%,8.84%,0.00%,0.00%,0.00%,0.00%,0.00%,40,$82.88 ,$15.94 ,75,https://www.reinders.com/products/cdg131w4-1/,https://pndata.andersonsinc.com/Files/Labels/CDG131W4.1.pdf,,,,,,
Andersons - 9-0-18 Contec Dispersing Granule Technology - SGN 75 - 40 LB BAG,9.00%,0.00%,18.00%,0.00%,0.00%,6.12%,0.30%,0.00%,6.00%,0.00%,0.00%,40,$78.68 ,$21.86 ,75,https://www.reinders.com/products/cdg95wm4/,https://pndata.andersonsinc.com/Files/Labels/CDG95WM4-A17%20-%20%20color%2011x17.pdf,,,,,,
Andersons - 14-7-14 Contec Dispersing Granule Technology - SGN 75 - 40 LB BAG,14.00%,7.00%,14.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,40,$77.42 ,$13.83 ,75,https://www.reinders.com/products/cdg141wm4/,N/A,,,,,,
